"timestamp","lifetime","adc"
27007.0,1181.250,189
27031.0,10550.000,1688
27048.0,850.000,136
27090.0,1625.000,260
27101.0,2343.750,375
27127.0,687.500,110
27141.0,900.000,144
27156.0,21937.500,3510
27163.0,425.000,68
27302.0,11275.000,1804
27312.0,1393.750,223
27356.0,668.750,107
27378.0,700.000,112
27390.0,3400.000,544
27454.0,356.250,57
27461.0,250.000,40
27462.0,1887.500,302
27489.0,13487.500,2158
27495.0,343.750,55
27509.0,562.500,90
27515.0,3262.500,522
27548.0,1468.750,235
27562.0,5575.000,892
27662.0,281.250,45
27683.0,5162.500,826
27747.0,2512.500,402
27810.0,2031.250,325
27834.0,1843.750,295
27841.0,4862.500,778
27954.0,2600.000,416
28012.0,425.000,68
28051.0,737.500,118
28052.0,3106.250,497
28146.0,2850.000,456
28159.0,93.750,15
28170.0,2575.000,412
28174.0,1656.250,265
28205.0,6806.250,1089
28216.0,618.750,99
28238.0,2618.750,419
28252.0,20437.500,3270
28336.0,418.750,67
28337.0,306.250,49
28340.0,3212.500,514
28365.0,7106.250,1137
28371.0,23468.750,3755
28439.0,550.000,88
28442.0,3050.000,488
28480.0,1637.500,262
28483.0,2887.500,462
28496.0,6781.250,1085
28503.0,3412.500,546
28516.0,7031.250,1125
28530.0,156.250,25
28543.0,2406.250,385
28629.0,15200.000,2432
28683.0,1718.750,275
28722.0,1625.000,260
28738.0,1556.250,249
28770.0,1150.000,184
28777.0,1287.500,206
28806.0,2062.500,330
28817.0,143.750,23
28834.0,11293.750,1807
28853.0,256.250,41
28888.0,4475.000,716
28888.0,3400.000,544
28986.0,24018.750,3843
29022.0,4875.000,780
29023.0,2356.250,377
29053.0,256.250,41
29099.0,2162.500,346
29107.0,1462.500,234
29119.0,7756.250,1241
29135.0,9081.250,1453
29163.0,1668.750,267
29183.0,237.500,38
29222.0,1275.000,204
29224.0,20337.500,3254
29233.0,4250.000,680
29233.0,10362.500,1658
29317.0,23493.750,3759
29348.0,3531.250,565
29372.0,437.500,70
29374.0,12787.500,2046
29394.0,1450.000,232
29396.0,137.500,22
29398.0,11425.000,1828
29422.0,175.000,28
29441.0,1906.250,305
29637.0,11625.000,1860
29643.0,4306.250,689
29671.0,4231.250,677
29679.0,10581.250,1693
29690.0,4300.000,688
29692.0,2818.750,451
29697.0,19606.250,3137
29739.0,2043.750,327
29744.0,21293.750,3407
29747.0,7543.750,1207
29767.0,3175.000,508
29834.0,2437.500,390
29843.0,12393.750,1983
29864.0,500.000,80
29927.0,4343.750,695
29935.0,593.750,95
30073.0,1025.000,164
30086.0,343.750,55
30092.0,643.750,103
30122.0,1512.500,242
30149.0,17343.750,2775
30194.0,662.500,106
30213.0,9000.000,1440
30330.0,1056.250,169
30333.0,21062.500,3370
30336.0,15268.750,2443
30354.0,7118.750,1139
30355.0,81.250,13
30373.0,1243.750,199
30374.0,406.250,65
30376.0,518.750,83
30381.0,11606.250,1857
30496.0,2856.250,457
30543.0,2081.250,333
30559.0,6393.750,1023
30643.0,20043.750,3207
30680.0,4143.750,663
30683.0,3362.500,538
30694.0,3031.250,485
30771.0,281.250,45
30882.0,1631.250,261
30888.0,15493.750,2479
30916.0,981.250,157
30937.0,3375.000,540
30943.0,21062.500,3370
30966.0,1112.500,178
31050.0,1437.500,230
31070.0,4956.250,793
31079.0,600.000,96
31099.0,1575.000,252
31123.0,5512.500,882
31290.0,1300.000,208
31295.0,306.250,49
31298.0,1625.000,260
31320.0,1825.000,292
31367.0,4987.500,798
31428.0,11481.250,1837
31448.0,5831.250,933
31453.0,343.750,55
31453.0,10531.250,1685
31462.0,5625.000,900
31492.0,1706.250,273
31543.0,706.250,113
31554.0,3162.500,506
31572.0,1812.500,290
31597.0,2643.750,423
31619.0,437.500,70
31651.0,19793.750,3167
31724.0,3606.250,577
31727.0,1687.500,270
31791.0,287.500,46
31879.0,4706.250,753
31888.0,15025.000,2404
32034.0,2675.000,428
32055.0,1237.500,198
32110.0,1406.250,225
32114.0,1637.500,262
32148.0,887.500,142
32162.0,9400.000,1504
32177.0,2600.000,416
32215.0,531.250,85
32255.0,2300.000,368
32272.0,1693.750,271
32324.0,2681.250,429
32359.0,225.000,36
32360.0,4150.000,664
32376.0,1325.000,212
32392.0,1131.250,181
32423.0,3356.250,537
32441.0,1668.750,267
32459.0,12525.000,2004
32473.0,431.250,69
32482.0,1400.000,224
32519.0,468.750,75
32526.0,1518.750,243
32543.0,1250.000,200
32545.0,2950.000,472
32634.0,3000.000,480
32657.0,1106.250,177
32729.0,10050.000,1608
32737.0,2362.500,378
32796.0,643.750,103
32819.0,24606.250,3937
32821.0,4837.500,774
32866.0,1237.500,198
